node_id,QEM_reference_node_id,CycleLength,Offset,up_node_id,dest_node_id,name,turn_type,turn_direction,prohibited_flag,protected_flag,permitted_flag,sim_turn_volume,sim_turn_hourly_volume,sim_turn_percentage,sim_turn_delay_in_second,obs_turn_volume,obs_turn_hourly_volume,obs_turn_percentage,obs_turn_delay_in_second,QEM_TurnDirection,QEM_TurnVolume,QEM_LinkVolume,QEM_Lanes,QEM_Shared,QEM_Width,QEM_Storage,QEM_StLanes,QEM_Grade,QEM_Speed,QEM_IdealFlow,QEM_LostTime,QEM_Phase1,QEM_PermPhase1,QEM_DetectPhase1,QEM_EffectiveGreen,QEM_Capacity,QEM_VOC,QEM_Delay,QEM_LOS,QEM_SatFlow,GreenStartTime,GreenEndTime,
1, ,0,0,30,3, ,Right,WBR,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,12,0,0,0,65,1900,4,6,0,0,0,0,0,0, ,0,0,0,
1, ,0,0,30,14, ,Left,WBL,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,12,0,0,0,65,1900,4,6,0,0,0,0,0,0, ,0,0,0,
2, ,0,0,29,34, ,Left,NBL,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,12,0,0,0,60,1900,4,2,0,0,0,0,0,0, ,0,0,0,
2, ,0,0,12,34, ,Right,SBR,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,12,0,0,0,60,1900,4,8,0,0,0,0,0,0, ,0,0,0,
3, ,0,0,1,4, ,Right,NBR,0,0,0,7102,7102,100,6.44556e-008,0,0,0,0, ,0,0,0,0,12,0,0,0,60,1900,4,2,0,0,0,0,0,0, ,0,0,0,
4, ,0,0,3,5, ,Through,EBT,0,0,0,7102,7102,100,6.44556e-008,0,0,0,0, ,0,0,3,0,12,0,0,0,60,1900,4,4,0,0,0,0,0,0, ,0,0,0,
4, ,0,0,3,36, ,Right,EBR,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,12,0,0,0,60,1900,4,4,0,0,0,0,0,0, ,0,0,0,
5, ,0,0,4,6, ,Through,EBT,0,0,0,7102,7102,100,6.87526e-008,0,0,0,0, ,0,0,3,0,12,0,0,0,60,1900,4,4,0,0,0,0,0,0, ,0,0,0,
6, ,0,0,5,7, ,Through,EBT,0,0,0,7102,7102,100,5.58615e-008,0,0,0,0, ,0,0,3,0,12,0,0,0,60,1900,4,4,0,0,0,0,0,0, ,0,0,0,
7, ,0,0,6,8, ,Through,EBT,0,0,0,7102,7102,100,6.44556e-008,0,0,0,0, ,0,0,3,0,12,0,0,0,60,1900,4,4,0,0,0,0,0,0, ,0,0,0,
8, ,0,0,7,9, ,Through,EBT,0,0,0,7102,7102,100,4.29704e-008,0,0,0,0, ,0,0,3,0,12,0,0,0,60,1900,4,4,0,0,0,0,0,0, ,0,0,0,
9, ,0,0,8,10, ,Through,EBT,0,0,0,7102,7102,100,0.507184,0,0,0,0, ,0,0,3,0,12,0,0,0,60,1900,4,4,0,0,0,0,0,0, ,0,0,0,
