agent_id,from_zone_id,to_zone_id,from_origin__node_id,to_destination_node_id,departure_time,demand_type,pricing_type,information_type,value_of_time,vehicle_type,vehicle_age,number_of_nodes
0,1,2,1,2,420.01,1,1,1,30.00,1,10,12,
1,1,2,1,2,420.02,1,1,1,30.00,2,15,12,
2,1,2,1,2,420.04,1,1,1,10.00,1,5,12,
3,1,2,1,2,420.05,1,1,1,20.00,1,5,12,
4,1,2,1,2,420.06,1,1,1,30.00,1,10,12,
5,1,2,1,2,420.07,1,1,1,10.00,1,10,12,
6,1,2,1,2,420.09,1,1,1,5.00,2,10,12,
7,1,2,1,2,420.10,1,1,1,1.00,1,5,12,
8,1,2,1,2,420.11,1,1,1,10.00,1,10,12,
9,1,2,1,2,420.12,1,1,1,30.00,1,5,12,
10,1,2,1,2,420.14,1,1,1,10.00,1,5,12,
11,1,2,1,2,420.15,1,1,1,10.00,1,10,12,
12,1,2,1,2,420.16,1,1,1,10.00,1,10,12,
13,1,2,1,2,420.17,1,1,1,30.00,1,5,12,
14,1,2,1,2,420.19,1,1,1,30.00,2,5,12,
15,1,2,1,2,420.20,1,1,1,5.00,1,10,12,
16,1,2,1,2,420.21,1,1,1,10.00,1,15,12,
17,1,2,1,2,420.22,2,2,1,15.00,1,10,12,
18,1,2,1,2,420.22,3,3,1,20.00,5,5,12,
19,1,2,1,2,420.22,1,1,1,30.00,1,5,12,
20,1,2,1,2,420.23,1,1,1,15.00,1,5,12,
21,1,2,1,2,420.25,1,1,1,10.00,1,5,12,
22,1,2,1,2,420.26,1,1,1,5.00,1,5,12,
23,1,2,1,2,420.27,1,1,1,15.00,2,5,12,
24,1,2,1,2,420.28,1,1,1,10.00,2,5,12,
25,1,2,1,2,420.30,1,1,1,10.00,1,5,12,
26,1,2,1,2,420.31,1,1,1,30.00,1,10,12,
27,1,2,1,2,420.32,1,1,1,20.00,1,5,12,
28,1,2,1,2,420.33,1,1,1,10.00,1,10,12,
29,1,2,1,2,420.35,1,1,1,20.00,2,5,12,
30,1,2,1,2,420.36,1,1,1,30.00,1,5,12,
31,1,2,1,2,420.37,1,1,1,60.00,1,10,12,
32,1,2,1,2,420.38,1,1,1,10.00,1,10,12,
33,1,2,1,2,420.40,1,1,1,20.00,1,10,12,
34,1,2,1,2,420.41,1,1,1,20.00,1,5,12,
35,1,2,1,2,420.42,1,1,1,15.00,2,5,12,
36,1,2,1,2,420.43,1,1,1,10.00,1,15,12,
37,1,2,1,2,420.44,3,3,1,30.00,5,5,12,
38,1,2,1,2,420.44,2,2,1,20.00,2,5,12,
39,1,2,1,2,420.44,1,1,1,10.00,1,10,12,
40,1,2,1,2,420.46,1,1,1,30.00,2,15,12,
41,1,2,1,2,420.47,1,1,1,5.00,2,10,12,
42,1,2,1,2,420.48,1,1,1,10.00,1,5,12,
43,1,2,1,2,420.49,1,1,1,15.00,1,0,12,
44,1,2,1,2,420.51,1,1,1,15.00,1,15,12,
45,1,2,1,2,420.52,1,1,1,10.00,1,5,12,
46,1,2,1,2,420.53,1,1,1,20.00,2,5,12,
47,1,2,1,2,420.54,1,1,1,40.00,1,0,12,
48,1,2,1,2,420.56,1,1,1,5.00,1,15,12,
49,1,2,1,2,420.57,1,1,1,1.00,1,0,12,
50,1,2,1,2,420.58,1,1,1,20.00,1,0,12,
51,1,2,1,2,420.59,1,1,1,10.00,1,5,12,
52,1,2,1,2,420.60,1,1,1,20.00,1,15,12,
53,1,2,1,2,420.62,1,1,1,10.00,2,15,12,
54,1,2,1,2,420.63,1,1,1,20.00,1,15,12,
55,1,2,1,2,420.64,1,1,1,1.00,1,10,12,
56,1,2,1,2,420.65,1,1,1,20.00,1,5,12,
57,1,2,1,2,420.67,2,2,1,30.00,1,10,12,
58,1,2,1,2,420.67,3,3,1,20.00,5,5,12,
59,1,2,1,2,420.67,1,1,1,30.00,2,5,12,
60,1,2,1,2,420.68,1,1,1,10.00,1,5,12,
61,1,2,1,2,420.69,1,1,1,10.00,1,5,12,
62,1,2,1,2,420.70,1,1,1,20.00,2,10,12,
63,1,2,1,2,420.72,1,1,1,30.00,1,10,12,
64,1,2,1,2,420.73,1,1,1,40.00,1,10,12,
65,1,2,1,2,420.74,1,1,1,20.00,1,15,12,
66,1,2,1,2,420.75,1,1,1,10.00,1,10,12,
67,1,2,1,2,420.77,1,1,1,10.00,1,5,12,
68,1,2,1,2,420.78,1,1,1,10.00,1,5,12,
69,1,2,1,2,420.79,1,1,1,15.00,1,5,12,
70,1,2,1,2,420.80,1,1,1,20.00,1,10,12,
71,1,2,1,2,420.81,1,1,1,20.00,1,10,12,
72,1,2,1,2,420.83,1,1,1,1.00,1,10,12,
73,1,2,1,2,420.84,1,1,1,20.00,1,5,12,
74,1,2,1,2,420.85,1,1,1,30.00,2,10,12,
75,1,2,1,2,420.86,1,1,1,10.00,1,5,12,
76,1,2,1,2,420.88,1,1,1,30.00,1,15,12,
77,1,2,1,2,420.89,3,3,1,20.00,5,5,12,
78,1,2,1,2,420.89,2,2,1,30.00,1,5,12,
79,1,2,1,2,420.89,1,1,1,15.00,1,10,12,
80,1,2,1,2,420.90,1,1,1,30.00,1,0,12,
81,1,2,1,2,420.91,1,1,1,40.00,2,15,12,
82,1,2,1,2,420.93,1,1,1,1.00,1,5,12,
83,1,2,1,2,420.94,1,1,1,10.00,1,15,12,
84,1,2,1,2,420.95,1,1,1,20.00,1,15,12,
85,1,2,1,2,420.96,1,1,1,5.00,1,15,12,
86,1,2,1,2,420.98,1,1,1,20.00,1,5,12,
87,1,2,1,2,420.99,1,1,1,10.00,2,5,12,
88,1,2,1,2,421.00,1,1,1,10.00,1,5,12,
89,1,2,1,2,421.01,1,1,1,5.00,1,5,12,
90,1,2,1,2,421.02,1,1,1,10.00,1,15,12,
91,1,2,1,2,421.04,1,1,1,1.00,1,10,12,
92,1,2,1,2,421.05,1,1,1,5.00,1,5,12,
93,1,2,1,2,421.06,1,1,1,10.00,1,5,12,
94,1,2,1,2,421.07,1,1,1,30.00,1,10,12,
95,1,2,1,2,421.09,1,1,1,15.00,1,5,12,
96,1,2,1,2,421.10,1,1,1,1.00,1,15,12,
97,1,2,1,2,421.11,3,3,1,60.00,4,15,12,
98,1,2,1,2,421.11,2,2,1,15.00,1,5,12,
99,1,2,1,2,421.11,1,1,1,30.00,1,5,12,
100,1,2,1,2,421.12,1,1,1,10.00,1,15,12,
101,1,2,1,2,421.14,1,1,1,30.00,1,10,12,
102,1,2,1,2,421.15,1,1,1,40.00,1,15,12,
103,1,2,1,2,421.16,1,1,1,20.00,2,15,12,
104,1,2,1,2,421.17,1,1,1,1.00,2,5,12,
105,1,2,1,2,421.19,1,1,1,30.00,2,5,12,
106,1,2,1,2,421.20,1,1,1,10.00,1,5,12,
107,1,2,1,2,421.21,1,1,1,5.00,1,5,12,
108,1,2,1,2,421.22,1,1,1,5.00,1,10,12,
109,1,2,1,2,421.23,1,1,1,20.00,2,5,12,
110,1,2,1,2,421.25,1,1,1,10.00,1,5,12,
111,1,2,1,2,421.26,1,1,1,10.00,1,15,12,
112,1,2,1,2,421.27,1,1,1,5.00,1,10,12,
113,1,2,1,2,421.28,1,1,1,15.00,2,5,12,
114,1,2,1,2,421.30,1,1,1,20.00,1,10,12,
115,1,2,1,2,421.31,1,1,1,30.00,1,5,12,
116,1,2,1,2,421.32,1,1,1,5.00,2,10,12,
117,1,2,1,2,421.33,2,2,1,1.00,1,5,12,
118,1,2,1,2,421.33,3,3,1,30.00,4,5,12,
119,1,2,1,2,421.33,1,1,1,5.00,1,0,12,
120,1,2,1,2,421.35,1,1,1,10.00,1,5,12,
121,1,2,1,2,421.36,1,1,1,40.00,1,10,12,
122,1,2,1,2,421.37,1,1,1,40.00,2,10,12,
123,1,2,1,2,421.38,1,1,1,10.00,1,5,12,
124,1,2,1,2,421.39,1,1,1,10.00,1,0,12,
125,1,2,1,2,421.41,1,1,1,20.00,1,15,12,
126,1,2,1,2,421.42,1,1,1,30.00,1,5,12,
127,1,2,1,2,421.43,1,1,1,10.00,1,10,12,
128,1,2,1,2,421.44,1,1,1,10.00,1,5,12,
129,1,2,1,2,421.46,1,1,1,10.00,1,10,12,
130,1,2,1,2,421.47,1,1,1,10.00,1,5,12,
131,1,2,1,2,421.48,1,1,1,30.00,1,0,12,
132,1,2,1,2,421.49,1,1,1,10.00,2,5,12,
133,1,2,1,2,421.51,1,1,1,15.00,1,10,12,
134,1,2,1,2,421.52,1,1,1,30.00,1,5,12,
135,1,2,1,2,421.53,1,1,1,20.00,1,10,12,
136,1,2,1,2,421.54,1,1,1,30.00,1,5,12,
137,1,2,1,2,421.55,2,2,1,5.00,1,10,12,
138,1,2,1,2,421.55,3,3,1,30.00,3,5,12,
139,1,2,1,2,421.56,1,1,1,30.00,1,15,12,
140,1,2,1,2,421.57,1,1,1,30.00,1,0,12,
141,1,2,1,2,421.58,1,1,1,20.00,2,15,12,
142,1,2,1,2,421.59,1,1,1,30.00,1,15,12,
143,1,2,1,2,421.60,1,1,1,60.00,1,5,12,
144,1,2,1,2,421.62,1,1,1,1.00,1,5,12,
145,1,2,1,2,421.63,1,1,1,1.00,1,15,12,
146,1,2,1,2,421.64,1,1,1,20.00,2,5,12,
147,1,2,1,2,421.65,1,1,1,10.00,1,10,12,
148,1,2,1,2,421.67,1,1,1,10.00,1,10,12,
149,1,2,1,2,421.68,1,1,1,20.00,2,15,12,
150,1,2,1,2,421.69,1,1,1,15.00,1,0,12,
151,1,2,1,2,421.70,1,1,1,30.00,1,10,12,
152,1,2,1,2,421.72,1,1,1,20.00,1,10,12,
153,1,2,1,2,421.73,1,1,1,30.00,1,5,12,
154,1,2,1,2,421.74,1,1,1,30.00,2,5,12,
155,1,2,1,2,421.75,1,1,1,30.00,1,10,12,
156,1,2,1,2,421.77,1,1,1,30.00,1,15,12,
157,1,2,1,2,421.77,3,3,1,30.00,3,15,12,
158,1,2,1,2,421.77,2,2,1,10.00,1,0,12,
159,1,2,1,2,421.78,1,1,1,15.00,1,5,12,
160,1,2,1,2,421.79,1,1,1,20.00,1,5,12,
161,1,2,1,2,421.80,1,1,1,20.00,2,15,12,
162,1,2,1,2,421.81,1,1,1,10.00,1,5,12,
163,1,2,1,2,421.83,1,1,1,10.00,1,10,12,
164,1,2,1,2,421.84,1,1,1,20.00,1,10,12,
165,1,2,1,2,421.85,1,1,1,40.00,2,5,12,
166,1,2,1,2,421.86,1,1,1,15.00,1,0,12,
167,1,2,1,2,421.88,1,1,1,10.00,1,5,12,
168,1,2,1,2,421.89,1,1,1,15.00,1,5,12,
169,1,2,1,2,421.90,1,1,1,60.00,1,5,12,
170,1,2,1,2,421.91,1,1,1,30.00,2,15,12,
171,1,2,1,2,421.93,1,1,1,30.00,2,5,12,
172,1,2,1,2,421.94,1,1,1,20.00,1,5,12,
173,1,2,1,2,421.95,1,1,1,20.00,1,15,12,
174,1,2,1,2,421.96,1,1,1,30.00,1,5,12,
175,1,2,1,2,421.98,1,1,1,30.00,2,5,12,
176,1,2,1,2,421.99,1,1,1,10.00,2,10,12,
177,1,2,1,2,422.00,2,2,1,15.00,1,5,12,
178,1,2,1,2,422.00,3,3,1,60.00,5,10,12,
179,1,2,1,2,422.00,1,1,1,10.00,1,5,12,
180,1,2,1,2,422.01,1,1,1,30.00,1,10,12,
181,1,2,1,2,422.02,1,1,1,30.00,1,5,12,
182,1,2,1,2,422.04,1,1,1,1.00,1,0,12,
183,1,2,1,2,422.05,1,1,1,15.00,2,15,12,
184,1,2,1,2,422.06,1,1,1,30.00,1,5,12,
185,1,2,1,2,422.07,1,1,1,10.00,1,10,12,
186,1,2,1,2,422.09,1,1,1,30.00,2,15,12,
187,1,2,1,2,422.10,1,1,1,10.00,1,5,12,
188,1,2,1,2,422.11,1,1,1,1.00,1,15,12,
189,1,2,1,2,422.12,1,1,1,1.00,1,10,12,
190,1,2,1,2,422.14,1,1,1,20.00,1,5,12,
191,1,2,1,2,422.15,1,1,1,15.00,1,5,12,
192,1,2,1,2,422.16,1,1,1,10.00,1,5,12,
